Headline,Body ID,Stance
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,1406,discuss
Pentagon: death of al Shabaab leader in U.S. strike would be major blow,646,unrelated
Seth Rogen to Play Apple’s Steve Wozniak,2184,unrelated
Nun gives birth to surprise baby after complaining of stomach pains,2009,unrelated
Jihadi John ‘identified as British man from West London’,1465,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,2354,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,2127,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,1014,agree
Has North Korean dictator Kim Jong-un been replaced by his sister?,235,unrelated
Amazon is about to open its first-ever physical store in New York City,703,unrelated
Missing Libyan jetliners raise fears of terror attacks on 9/11,2317,unrelated
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",2504,agree
Axl Rose Dead? Of Course Not — Tiresome Internet Death Hoax Plague Hits Guns N’ Roses Frontman,144,unrelated
Rapper identified as James Foley's executioner: reports,592,unrelated
Video: Islamic State Claims to Have Captured US Weapons Airdrop Near Kobane,2404,discuss
Jihadi John unmasked: Former Westminster University student was arrested FIVE years ago and put on a terror watch list - but he flew to Syria to join ISIS two years later,1442,unrelated
Paul Revere's 1795 time capsule unearthed,1852,unrelated
Tips for Chinese choosing an English name,1987,unrelated
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",1917,unrelated
Seth Rogen To Play Steve Wozniak In Steve Jobs Biopic,586,discuss
Anyone for dog meat soup? Kim Jong-Un considers opening restaurant in Scotland selling North Korean delicacies,955,unrelated
Mechanical polar bear ‘threatened with ASBO for singing Christmas songs’,2446,discuss
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",1260,unrelated
"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",1699,unrelated
Report: Exec popped for $300k dinner after run at blackjack,1791,discuss
Dera Sacha Sauda Chief Forced Castration of 400 Devotees? CBI Files Case Against 'MSG: The Messenger of God' Actor,684,unrelated
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",2016,agree
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1336,discuss
The baby from Teletubbies reveals herself,2227,agree
"Gill Rosenberg, Canadian citizen, reportedly captured by ISIS in Syria",1690,discuss
Her Majesty’s magic mushrooms,2478,agree
It's back! The incredible new Batmobile takes a spin around Detroit... after rumors it had been STOLEN,775,unrelated
Islamic State Flying Three Jets in Syria,2408,discuss
Mass grave found after 40 students disappear in Mexican protest,1109,discuss
James Foley remembered as 'brave and tireless' journalist,704,unrelated
Report: Fence jumper made it into East Room of White House,1804,unrelated
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",1586,unrelated
"Vice Media CEO Shane Smith Spent $300,000 on Las Vegas Dinner (Report)",1547,unrelated
New policy could reduce marijuana possession arrests,1732,discuss
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,40,unrelated
Axl Rose NOT Dead: Fake MSNBC Death Hoax Goes Viral On Facebook,1859,agree
Russian Man Wakes Up to Find His Testicles Have Been Stolen,1459,unrelated
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,1355,unrelated
CNN audio: Is this the moment Michael Brown was shot?,132,unrelated
Abdel-Majed Abdel Bary: London Rapper Identified As ISIS Militant Who Beheaded James Foley,1079,agree
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2147,discuss
Is Durex Planning To Release A Pumpkin Spice Condom?,1642,unrelated
Alleged audio of Michael Brown shooting released,666,unrelated
Christian Bale quits Steve Jobs movie,1893,unrelated
"US, UK eye rapper as British-born militant who beheaded journalist James Foley",1202,discuss
Pumpkin Spice condoms? Don't fall for this hoax.,609,unrelated
GOP Rep. Duncan Hunter Claims 'At Least' 10 ISIS Fighters Apprehended On Texas Border,1637,unrelated
Christian Bale will not play Steve Jobs,1806,unrelated
WHO investigates media reports ISIS fighters contracted Ebola,2175,unrelated
"Nun gives birth, intends to keep baby",1597,unrelated
CNN Expert on Brown Audio: At First I Thought ‘Someone’s Trying to Punk CNN’,1893,unrelated
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,1077,unrelated
"Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge",2272,unrelated
Angry mob hacks off alleged rapist's genitals with meat cleaver after dragging him into butchers,1680,unrelated
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,169,unrelated
Nigeria says it has deal with Boko Haram to release kidnapped girls,402,unrelated
WTC rats scare off Anna Wintour,1149,discuss
Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,1805,agree
"Boko Haram denies truce, says kidnapped girls married",1506,unrelated
Is There an ISIS Threat on the Texas-Mexico Border or Not?,2261,discuss
NYPD to stop arrests for small amounts of marijuana,1718,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,524,unrelated
Parliament Hill shooting: Sergeant-At-Arms Kevin Vickers the family hero who took down Ottawa gunman,2521,unrelated
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",682,unrelated
Nigeria Boko Haram blamed for raids despite truce claim,320,unrelated
Rapper identified as James Foley's executioner: reports,195,unrelated
Married TV actor wakes up to find his testicles have been STOLEN after he is drugged in Russian bar by attractive blonde working for organ traffickers,1519,unrelated
Report claims Kim Jong-un underwent surgery to repair fractured ankles,859,discuss
"Apple Watch users will need to recharge nightly, company still working to improve uptime before launch",2213,agree
"No, Saudi TV Didn't Blur Out Michelle Obama's Face When the President Met King Salman",691,agree
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",2370,unrelated
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",1190,agree
"No, that broken pencil illustration isn't by Banksy",2070,agree
Blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal,842,unrelated
WSJ: Apple cut watch health features due to erratic sensors,2379,unrelated
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,800,unrelated
New Audio Allegedly Captures Moment Michael Brown Was Shot,1832,unrelated
Meteor Leaves 40-Foot Crater Near Managua's Airport,1155,unrelated
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,2078,unrelated
Canadian-Israeli woman reportedly kidnapped by ISIS: Jerusalem Post,80,unrelated
Media reports identify Londoner as Islamic State's ‘Jihadi John’,81,unrelated
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1374,agree
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,1461,discuss
Saudi Arabia Cleric Issues Fatwa Against Building Snowmen,1670,unrelated
Police hunt tweed-jacket wearing man who slaps shoppers for SNEEZING,1660,unrelated
It's back! The incredible new Batmobile takes a spin around Detroit... after rumors it had been STOLEN,1494,unrelated
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,171,unrelated
Report: Amazon to Launch Ad-Supported Streaming Service,971,unrelated
Bali Awry,1104,discuss
New policy could reduce marijuana possession arrests,1897,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1009,unrelated
'Sex attacker' has penis cut off with a cleaver in India,1829,unrelated
